id,file_mp3,clipBegin,clipEnd
id_1,chuong01.mp3,0.000,2.952
id_2,chuong01.mp3,2.952,16.008
id_3,chuong01.mp3,16.008,21.456
id_4,chuong01.mp3,21.456,23.472
id_5,chuong01.mp3,23.472,27.480
id_6,chuong01.mp3,27.480,31.416
id_7,chuong01.mp3,31.416,35.016
id_8,chuong01.mp3,35.016,43.080
id_9,chuong01.mp3,43.080,47.088
id_10,chuong01.mp3,47.088,51.072
id_11,chuong01.mp3,51.072,53.808
id_12,chuong01.mp3,53.808,59.136
id_13,chuong01.mp3,59.136,66.672
id_14,chuong01.mp3,66.672,77.088
id_15,chuong01.mp3,77.088,84.192
id_16,chuong01.mp3,84.192,88.032
id_17,chuong01.mp3,88.032,91.512
id_18,chuong01.mp3,91.512,94.968
id_19,chuong01.mp3,94.968,98.712
id_20,chuong01.mp3,98.712,111.504
id_21,chuong01.mp3,111.504,123.696
id_22,chuong01.mp3,123.696,149.472
id_23,chuong01.mp3,149.472,157.056
id_24,chuong01.mp3,157.056,160.416
id_25,chuong01.mp3,160.416,172.824
id_26,chuong01.mp3,172.824,177.624
