sheet_tab,title,isbn,creator,subject_code,subject,publisher,date,language,collector,sourceURL
DS_main,1984,9786045774229,George Orwell,L,Văn học & Tiểu thuyết,Không rõ,1949,vi,Nguyễn Đoàn Xuân Thu,
DS_main,22 Quy luật bất biến trong marketing,9786045893005,Al Ries - Jack Trout,B,Kinh tế & Kinh doanh,NXB Trẻ,1993,vi,Ngô Thanh Tùng,
DS_main,Ác ý,9786044987002,Keigo Higashino,L,Văn học & Tiểu thuyết,NXB Hồng Đức,2019,vi,Ngô Thanh Tùng,
DS_main,Ai cập huyền bí,9786043408270,Paul Brunton,H,Lịch sử,NXB Văn Hóa Thông Tin,2004,vi,Bùi Minh Quân,
DS_main,Alice Lạc Vào Xứ Diệu Kỳ,9786049548260,Carroll,L,Văn học & Tiểu thuyết,NXB Văn học,1865,vi,Ngô Thanh Tùng,
DS_main,Anh em sinh năm,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Anne tóc đỏ dưới chái nhà xanh,9786045357781,Lucy Maud Montgomery,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2021,vi,Ngô Thanh Tùng,
DS_main,Ăn mày dĩ vãng,9786049324970,Chu Lai,L,Văn học & Tiểu thuyết,Nhà xuất bản Văn học,1991,vi,Ngô Thanh Tùng,
DS_main,"Ba ơi, mình đi đâu",9786043683264,Jean-Louis Fournier,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2009,vi,Hồ Khổng Tuyết Như,
DS_main,Bảy bước tới mùa hè,9786041200456,Nguyễn Nhật Ánh,L,Văn học & Tiểu thuyết,NXB Trẻ,2015,vi,Ngô Thanh Tùng,
DS_main,Bắt lửa,9786046495789,Suzanne Collins,L,Văn học & Tiểu thuyết,NXB Văn học,2013,vi,Ngô Thanh Tùng,
DS_main,Bắt Trẻ Đồng Xanh,9786043064711,J. D. Salinger,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,1951,vi,Hồ Khổng Tuyết Như,
DS_main,Bỉ Vỏ,9786043494747,Nguyên Hồng,L,Văn học & Tiểu thuyết,NXB Văn Học,1937,vi,Ngô Thanh Tùng,
DS_main,Binh pháp tôn tử,9786044839936,Tôn Tử,H,Lịch sử,NXB Hồng Đức,2024,vi,Bùi Minh Quân,
DS_main,Bò béo bò gầy,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Ngô Thanh Tùng,
DS_main,Bồ câu không đưa thư,9786041242913,Nguyễn Nhật Ánh,L,Văn học & Tiểu thuyết,NXB Kim Đồng,2002,vi,Nguyễn Trọng Quý,
DS_main,Bốn anh tài,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Bông sen vàng,9786045799857,Sơn Tùng,L,Văn học & Tiểu thuyết,Nhà xuất bản Chính trị quốc gia Sự thật,2022,vi,Ngô Thanh Tùng,
DS_main,Búp sen xanh,9786042253741,Sơn Tùng,L,Văn học & Tiểu thuyết,NXB Kim Đồng,1982,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Bướm trắng,9786044773629,Nhất Linh,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2022,vi,Ngô Thanh Tùng,
DS_main,Cái kiến mày kiện củ khoai,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Cánh đồng bất tận,9786041266001,Nguyễn Ngọc Tư,L,Văn học & Tiểu thuyết,NXB Trẻ,2006,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Cây cam ngọt,9786043684520,José Mauro de Vasconcelos,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2020,vi,Ngô Thanh Tùng,
DS_main,Cây cam ngọt của tôi,8935235228351,José Mauro de Vasconcelos,L,Văn học & Tiểu thuyết,NXB Trẻ,2010,vi,Hồ Khổng Tuyết Như,
DS_main,Cây chuối non đi giày xanh,9786041217959,Nguyễn Nhật Ánh,L,Văn học & Tiểu thuyết,NXB Trẻ,2018,vi,Ngô Thanh Tùng,
DS_main,"Cha mẹ nuôi con biển hồ lai láng, con nuôi cha mẹ kể tháng kể ngày",,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Charlie Và Nhà Máy Chocolate,9786042011075,Roald Dahl,L,Văn học & Tiểu thuyết,NXB Trẻ,1964,vi,Ngô Thanh Tùng,
DS_main,Charlotte và Wilbur,9786043230833,E.B. White,L,Văn học & Tiểu thuyết,NXB Văn học,1952,vi,Ngô Thanh Tùng,
DS_main,Chân Trời Cũ,9786042238038,Hồ Dzếnh,L,Văn học & Tiểu thuyết,NXB Kim Đồng,2022,vi,Ngô Thanh Tùng,
DS_main,Chí Phèo,9786044779546,Nam Cao,L,Văn học & Tiểu thuyết,NXB văn học,2018,vi,Ngô Thanh Tùng,
DS_main,Chìa khóa vũ trụ của George,9786049639821,Stephen Hawking & Lucy Hawking,N,Khoa học tự nhiên,Nhã Nam phối hợp với NXB Văn Hóa Thông Tin,2007,vi,Bùi Minh Quân,
DS_main,Chiếc Lư Đồng Mắt Cua,8935235231436,Nguyễn Tuân,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2021,vi,Ngô Thanh Tùng,
